FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
44,45,PLAS,214_2.2013,214_2,2012Chips,2012,2013,1,1,23,2,15,2.6,40.074815,-121.235597,529.12,0,0,35,1432,71,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,62.5237999,0,0,0,0,0,0
45,46,PLAS,214_2.2014,214_2,2012Chips,2012,2014,2,1,17,3,11,4.6,40.074815,-121.235597,529.12,0,0,35,1432,71,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,62.5237999,0,0,0,0,0,0
46,47,PLAS,214_2.2015,214_2,2012Chips,2012,2015,3,1,10,3,7,6.6,40.074815,-121.235597,529.12,0,0,35,1432,71,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,62.5237999,0,0,0,0,0,0
47,48,PLAS,214_3.2013,214_3,2012Chips,2012,2013,1,1,27,5,14,2.6,40.072768,-121.235415,317.78,0,0,32,1473,40,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.74870014,0,0,0,0,0,0
48,49,PLAS,214_3.2014,214_3,2012Chips,2012,2014,2,1,26,5,12,2.5,40.072768,-121.235415,317.78,0,0,32,1473,40,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.74870014,0,0,0,0,0,0
49,50,PLAS,214_3.2015,214_3,2012Chips,2012,2015,3,1,25,5,10,2.4,40.072768,-121.235415,317.78,0,0,32,1473,40,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.74870014,0,0,0,0,0,0
50,51,PLAS,214_5.2009,214_5,2000Storrie,2000,2009,9,1,12,13,9,2.4,40.068105,-121.235066,369.6,0,0,17,1505,151,2,5,SMC,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,12.48019981,0,0,0.0122973,0,0,0,0,0,0
51,52,PLAS,214_5.2010,214_5,2000Storrie,2000,2010,10,1,12,13,9,2.4,40.068105,-121.235066,369.6,0,0,17,1505,151,2,5,SMC,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,12.48019981,0,0,0.0122973,0,0,0,0,0,0
52,53,PLAS,214_5.2011,214_5,2000Storrie,2000,2011,11,1,8,10,8,2.4,40.068105,-121.235066,369.6,0,0,17,1505,151,2,5,SMC,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,12.48019981,0,0,0.0122973,0,0,0,0,0,0
53,54,PLAS,214_6.2009,214_6,2000Storrie,2000,2009,9,1,12,15,4,2.4,40.065966,-121.234852,378.49,0,0,19,1445,201,2,4,DFR,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,7.09939003,0,0,0,0,0,0,0,0,0
