"","PointYrID","PointID","FIRE_ID","Fire_year","Year","TSB","TreeCov","ShrubCov","SnagBA","lat","long","burnsev","slope","elevation","aspect","visits","prefire","Burned"
"97","223_7.2014","223_7","2012Chips",2012,2014,2,30,3,0.7,40.153923,-121.100587,0.665691972,43,1404,145,2,"late closed",1
"98","223_7.2015","223_7","2012Chips",2012,2015,3,30,2,0.8,40.153923,-121.100587,0.665691972,43,1404,145,2,"late closed",1
"99","223_8.2013","223_8","2012Chips",2012,2013,1,28,5,0.4,40.155822,-121.099384,4.406310081,15,1428,91,2,"late closed",1
"100","223_8.2014","223_8","2012Chips",2012,2014,2,27,5,1.1,40.155822,-121.099384,4.406310081,15,1428,91,2,"late closed",1
"101","223_8.2015","223_8","2012Chips",2012,2015,3,26,4,1.8,40.155822,-121.099384,4.406310081,15,1428,91,2,"late closed",1
"102","223_9.2013","223_9","2012Chips",2012,2013,1,15,2,6.8,40.157642,-121.099932,30.35589981,33,1421,58,2,"late closed",1
"103","223_9.2014","223_9","2012Chips",2012,2014,2,21,3,4.8,40.157642,-121.099932,30.35589981,33,1421,58,2,"late closed",1
"104","223_9.2015","223_9","2012Chips",2012,2015,3,26,4,2.8,40.157642,-121.099932,30.35589981,33,1421,58,2,"late closed",1
"105","224_1.2013","224_1","2012Chips",2012,2013,1,7,2,17.6,40.116706,-121.123719,96.76660156,28,1287,255,2,"late closed",1
"106","224_1.2014","224_1","2012Chips",2012,2014,2,5,2,16.7,40.116706,-121.123719,96.76660156,28,1287,255,2,"late closed",1
"107","224_1.2015","224_1","2012Chips",2012,2015,3,3,2,15.8,40.116706,-121.123719,96.76660156,28,1287,255,2,"late closed",1
"108","224_2.2013","224_2","2012Chips",2012,2013,1,50,3,2.8,40.114164,-121.123085,14.95149994,26,1276,248,2,"late closed",1
"109","224_2.2014","224_2","2012Chips",2012,2014,2,38,3,5.2,40.114164,-121.123085,14.95149994,26,1276,248,2,"late closed",1
"110","224_2.2015","224_2","2012Chips",2012,2015,3,25,3,7.6,40.114164,-121.123085,14.95149994,26,1276,248,2,"late closed",1
"111","224_4.2013","224_4","2012Chips",2012,2013,1,50,3,4.8,40.110376,-121.122216,0.247861996,12,1252,246,2,"mid closed",1
"112","224_4.2014","224_4","2012Chips",2012,2014,2,43,4,4.8,40.110376,-121.122216,0.247861996,12,1252,246,2,"mid closed",1
"113","224_4.2015","224_4","2012Chips",2012,2015,3,35,5,4.8,40.110376,-121.122216,0.247861996,12,1252,246,2,"mid closed",1
"114","224_5.2013","224_5","2012Chips",2012,2013,1,48,3,4.6,40.108234,-121.121793,12.48260021,11,1265,321,2,"late closed",1
